college_name,url,college_city,enrollment,tuition
Epic Bible College,https://www.free-4u.com/Colleges/Epic-Bible-College.html,Sacramento,332,"$10,440.00"
Everest College Ontario Metro,https://www.free-4u.com/Colleges/Everest-College-Ontario-Metro.html,Ontario,,"$16,526.00"
Expression College for Digital Arts,https://www.free-4u.com/Colleges/Expression-College-for-Digital-Arts.html,Emeryville,557,"$23,747.00"
Fashion Institute of Design and Merchandising Los Angeles,https://www.free-4u.com/Colleges/Fashion-Institute-of-Design-and-Merchandising-Los-Angeles.html,Los Angeles,"4,117","$32,570.00"
Fashion Institute of Design and Merchandising San Francisco,https://www.free-4u.com/Colleges/Fashion-Institute-of-Design-and-Merchandising-San-Francisco.html,San Francisco,659,"$32,570.00"
Fielding Graduate University,https://www.free-4u.com/Colleges/Fielding-Graduate-University.html,Santa Barbara,"1,539",
Five Branches University,https://www.free-4u.com/Colleges/Five-Branches-University.html,Santa Cruz,490,
Franciscan School of Theology,https://www.free-4u.com/Colleges/Franciscan-School-of-Theology.html,Oceanside,46,
Fremont College,https://www.free-4u.com/Colleges/Fremont-College.html,Cerritos,599,
Fresno Pacific University,https://www.free-4u.com/Colleges/Fresno-Pacific-University.html,Fresno,"4,774","$38,039.00"
Fuller Theological Seminary in California,https://www.free-4u.com/Colleges/Fuller-Theological-Seminary-in-California.html,Pasadena,"3,981",
Golden Gate University San Francisco,https://www.free-4u.com/Colleges/Golden-Gate-University-San-Francisco.html,San Francisco,"3,957","$16,560.00"
Grace Mission University,https://www.free-4u.com/Colleges/Grace-Mission-University.html,Fullerton,192,"$3,890.00"
Graduate Theological Union,https://www.free-4u.com/Colleges/Graduate-Theological-Union.html,Berkeley,253,
Harvey Mudd College,https://www.free-4u.com/Colleges/Harvey-Mudd-College.html,Claremont,816,"$66,627.00"
Holy Names University,https://www.free-4u.com/Colleges/Holy-Names-University.html,Oakland,"1,389","$51,124.00"
Hope International University,https://www.free-4u.com/Colleges/Hope-International-University.html,Fullerton,"1,953","$40,872.00"
Horizon University,https://www.free-4u.com/Colleges/Horizon-University.html,San Diego,41,"$9,650.00"
Humboldt State University,https://www.free-4u.com/Colleges/Humboldt-State-University.html,Arcata,"9,036","$22,843.00"
Humphreys College Stockton and Modesto Campuses,https://www.free-4u.com/Colleges/Humphreys-College-Stockton-and-Modesto-Campuses.html,Stockton,"1,138","$14,202.00"
Interior Designers Institute,https://www.free-4u.com/Colleges/Interior-Designers-Institute.html,Newport Beach,240,"$20,545.00"
International Academy of Design and Technology Sacramento,https://www.free-4u.com/Colleges/International-Academy-of-Design-and-Technology-Sacramento.html,Sacramento,85,"$14,782.00"
International Technological University,https://www.free-4u.com/Colleges/International-Technological-University.html,San Jose,"2,369",
Irell and Manella Graduate School of Biological Sciences at City of Hope,https://www.free-4u.com/Colleges/Irell-and-Manella-Graduate-School-of-Biological-Sciences-at-City-of-Hope.html,Duarte,89,
John F. Kennedy University,https://www.free-4u.com/Colleges/John-F.-Kennedy-University.html,Pleasant Hill,"1,546","$23,640.00"
John Paul the Great Catholic University,https://www.free-4u.com/Colleges/John-Paul-the-Great-Catholic-University.html,Escondido,352,"$40,898.00"
Keck Graduate Institute,https://www.free-4u.com/Colleges/Keck-Graduate-Institute.html,Claremont,356,
La Sierra University,https://www.free-4u.com/Colleges/La-Sierra-University.html,Riverside,"3,153","$42,720.00"
Laguna College of Art and Design,https://www.free-4u.com/Colleges/Laguna-College-of-Art-and-Design.html,Laguna Beach,662,"$44,207.00"
Life Chiropractic College West,https://www.free-4u.com/Colleges/Life-Chiropractic-College-West.html,Hayward,609,
